2023/11/17	20:39:34	241b926e-c67e-42db-ae11-bbee137624e1	/	GET
2023/11/17	20:39:34	939b5a54-b174-4b65-8932-50b392408045	/css/style.css	GET
2023/11/17	20:44:18	b60d3de2-8025-475d-b2e3-7d1b43314492	/ghg	GET
2023/11/17	20:44:18	42c8ff95-bb24-409a-8373-0ef360980cce	/css/style.css	GET
2023/11/17	20:46:46	3fba7e3f-1a1d-49da-8a5e-7e05aa9333a4	/ghg	GET
2023/12/03	09:59:45	4723054e-6fd3-4b20-aa26-b7fb2757a79f	GET	undefined	/
2023/12/03	09:59:45	692f8094-81c4-4891-be27-d6928eb7944b	GET	undefined	/css/style.css
2023/12/03	10:03:32	690583af-6d85-4a90-880e-3f7880354337	GET	undefined	/
2023/12/03	10:03:32	c8f67adf-ed41-4212-b498-e49db5178553	GET	undefined	/css/style.css
2023/12/03	10:05:40	1e170f96-ae8c-463d-920a-cdb42579ed7c	OPTIONS	https://www.google.com	/
2023/12/03	10:05:40	344757a5-f446-444a-a1e4-59593571201f	GET	https://www.google.com	/
2023/12/03	10:10:11	336233b5-af6a-44f7-843b-aba5eb8d5831	OPTIONS	https://www.google.com	/
2023/12/03	10:10:11	23fdc4a6-ef97-432c-a739-4071279ed2f1	GET	https://www.google.com	/
2023/12/03	10:17:51	d7189e4c-080c-48ae-b2f5-eee5bca1c8ad	OPTIONS	https://www.google.com	/
2023/12/03	10:17:51	fba7eb18-ead1-4986-93a6-25e1d42310a9	GET	https://www.google.com	/
2023/12/03	10:18:15	21c78863-595f-4f11-b2b3-c861d765e3e9	OPTIONS	https://www.google.com	/
2023/12/03	10:18:15	521c2926-bcb4-4680-8106-b26effd2950f	GET	https://www.google.com	/
2023/12/03	10:20:22	b36fb23c-4a7b-44ac-957b-f1ac4ff8d5f3	OPTIONS	https://www.google.com	/
2023/12/03	10:20:22	59a93a1f-52f8-40fd-9353-c74fa653435e	GET	https://www.google.com	/
2023/12/03	10:20:43	571fb6d7-db68-4220-bc72-80907007bfd2	OPTIONS	https://www.google.com	/
2023/12/03	10:20:43	909c984a-c5eb-4099-92cf-a84cb854e953	GET	https://www.google.com	/
2023/12/03	10:24:14	5cf92748-b0f1-4b6c-9c97-8f882bb96fc0	GET	undefined	/
2023/12/03	10:25:20	0815967c-b479-412d-92ba-dcd1b75cc838	GET	undefined	/
2023/12/03	10:26:05	1bafd6aa-83ec-49c5-9ce3-0e7b00bad163	GET	undefined	/
2023/12/03	10:26:06	5523a339-84f2-4e91-b62f-33d1a9c1a8e6	GET	undefined	/css/style.css
2023/12/03	10:31:56	f6e86934-3e6e-498e-af87-ad2bdb8f234a	GET	undefined	/
